0.9455	-0.4316	-0.05446
0.992	-0.4264	-0.05517
1.02	-0.4034	-0.05793
1.066	-0.3925	-0.04541
1.071	-0.3787	-0.0492
1.001	-0.3346	-0.03655
0.9564	-0.3087	-0.01629
0.872	-0.3241	-0.01599
0.7703	-0.3412	-0.000222
0.7855	-0.3467	0.02754
0.7915	-0.3468	0.05449
0.7779	-0.328	0.07342
0.7989	-0.298	0.07927
0.8093	-0.2949	0.09381
0.8547	-0.3088	0.1098
0.8817	-0.3205	0.1385
0.8787	-0.3227	0.1822
0.8867	-0.2764	0.1846
0.893	-0.2173	0.154
0.963	-0.2358	0.1299
1.061	-0.3263	0.1091
1.115	-0.3941	0.1175
1.148	-0.3602	0.175
1.174	-0.2585	0.2334
1.177	-0.1994	0.2384
1.174	-0.2668	0.1991
1.231	-0.4755	0.1342
1.259	-0.6575	0.02387
1.162	-0.6072	-0.05388
0.9969	-0.4755	-0.02907
0.8672	-0.4458	-0.03525
0.8926	-0.4163	-0.1033
0.9641	-0.409	-0.1404
0.9384	-0.4374	-0.1497
0.8644	-0.4238	-0.08293
0.7714	-0.4467	0.008276
0.7722	-0.4345	0.01251
0.8343	-0.3602	0.01948
0.8089	-0.3218	-0.00362
0.8133	-0.2497	-0.0949
0.8219	-0.2159	-0.0904
0.805	-0.2434	-0.05847
0.9209	-0.2341	-0.07516
1.031	-0.2547	-0.02573
1.003	-0.2731	0.02657
0.929	-0.255	0.06154
0.9001	-0.2502	0.09615
0.9699	-0.2533	0.07556
1.059	-0.2597	0.09655
1.078	-0.2509	0.09927
1.045	-0.2365	0.02004
1.022	-0.203	-0.005569
1.019	-0.1692	0.008407
1.036	-0.2033	0.05206
1.128	-0.2762	0.08949
1.198	-0.3467	0.0355
1.17	-0.3932	-0.09623
1.143	-0.4811	-0.248
1.118	-0.6036	-0.2392
0.9906	-0.6204	-0.1557
0.8761	-0.6704	-0.1591
1.045	-0.7213	-0.09122
1.288	-0.4823	-0.0613
1.259	-0.237	-0.1193
1.154	-0.2497	-0.08495
1.07	-0.2745	-0.07901
0.8988	-0.2745	-0.0806
0.7691	-0.3304	-0.01124
0.7195	-0.3368	0.03177
0.6902	-0.2932	0.08768
0.6864	-0.2856	0.1096
0.6765	-0.2796	0.09504
0.6781	-0.2707	0.1182
0.7288	-0.2834	0.1099
0.8145	-0.2603	0.1127
0.8821	-0.2511	0.1315
0.8906	-0.2796	0.121
0.8704	-0.3162	0.1164
0.8711	-0.3994	0.09426
1.018	-0.4521	0.1146
1.301	-0.4173	0.2059
1.406	-0.2764	0.2823
1.233	-0.08895	0.2762
1.112	-0.1322	0.1668
1.218	-0.453	0.05762
1.263	-0.7144	0.01128
1.108	-0.6398	0.01803
0.9285	-0.3958	0.002463
0.8212	-0.2758	-0.1077
0.9291	-0.267	-0.1562
1.07	-0.369	-0.1105
0.9482	-0.4857	-0.05258
0.8319	-0.4459	0.04868
0.7791	-0.4041	0.08964
0.7183	-0.3648	0.02058
0.8191	-0.2791	-0.06663
0.895	-0.2689	-0.1134
0.8814	-0.2529	-0.09156
0.881	-0.2269	-0.03297
0.8494	-0.2262	0.02547
0.9077	-0.1993	0.04464
0.9849	-0.1939	0.0379
0.9741	-0.2083	0.05186
0.9872	-0.2553	0.04431
1.021	-0.3048	0.0187
1.059	-0.2717	0.0231
1.056	-0.1685	0.02763
1.044	-0.02563	0.01814
1.088	0.04147	0.02288
1.117	-0.05256	0.02127
1.201	-0.2194	0.00397
1.28	-0.3416	-0.01008
1.174	-0.3955	-0.0361
0.9754	-0.5331	-0.05861
0.8335	-0.727	-0.05735
0.8974	-0.7057	-0.0593
1.149	-0.6362	-0.07914
1.399	-0.6222	-0.08598
1.488	-0.3887	-0.06798
1.221	-0.2283	-0.04677
0.9034	-0.2618	-0.01677
0.893	-0.2229	-0.01896
0.809	-0.2679	-0.03781
0.6878	-0.2918	0.001362
0.777	-0.2731	0.03429
0.7403	-0.3314	0.06515
0.6506	-0.2641	0.1211
0.6782	-0.2204	0.1217
1.154	-0.2497	-0.08495
1.07	-0.2745	-0.07901
0.8988	-0.2745	-0.0806
0.7691	-0.3304	-0.01124
0.7195	-0.3368	0.03177
0.6902	-0.2932	0.08768
0.6864	-0.2856	0.1096
0.6765	-0.2796	0.09504
0.6781	-0.2707	0.1182
0.7288	-0.2834	0.1099
0.8145	-0.2603	0.1127
0.8821	-0.2511	0.1315
0.8906	-0.2796	0.121
0.8704	-0.3162	0.1164
0.8711	-0.3994	0.09426
1.018	-0.4521	0.1146
1.301	-0.4173	0.2059
1.406	-0.2764	0.2823
1.233	-0.08895	0.2762
1.112	-0.1322	0.1668
1.218	-0.453	0.05762
1.263	-0.7144	0.01128
1.108	-0.6398	0.01803
0.9285	-0.3958	0.002463
0.8212	-0.2758	-0.1077
0.9291	-0.267	-0.1562
1.07	-0.369	-0.1105
0.9482	-0.4857	-0.05258
0.8319	-0.4459	0.04868
0.7791	-0.4041	0.08964
0.7183	-0.3648	0.02058
0.8191	-0.2791	-0.06663
0.895	-0.2689	-0.1134
0.8814	-0.2529	-0.09156
0.881	-0.2269	-0.03297
0.8494	-0.2262	0.02547
0.9077	-0.1993	0.04464
0.9849	-0.1939	0.0379
0.9741	-0.2083	0.05186
0.9872	-0.2553	0.04431
1.021	-0.3048	0.0187
1.059	-0.2717	0.0231
1.056	-0.1685	0.02763
1.044	-0.02563	0.01814
1.088	0.04147	0.02288
1.117	-0.05256	0.02127
1.201	-0.2194	0.00397
1.28	-0.3416	-0.01008
1.174	-0.3955	-0.0361
